"","ID","Traffic Volume Count Location  Address","Street","Date of Count","Total Passing Vehicle Volume","Vehicle Volume By Each Direction of Traffic","Location","geometry"
"498",634,"2900 North","Lake Shore Inner Dr","09/18/2006",4700,"North Bound: 1100 / South Bound: 3600","(41.934544, -87.636704)",c(-87.636704, 41.934544)
"499",728,"7168 West","North Ave","12/20/2006",36000,"East Bound: 17100 / West Bound: 18900","(41.908868, -87.804756)",c(-87.804756, 41.908868)
"500",1119,"1061 West","Madison St","09/19/2006",15800,"East Bound: 7400 / West Bound: 8400","(41.881657, -87.65456)",c(-87.65456, 41.881657)
"501",1043,"52 East","31st St","10/18/2006",11700,"East Bound: 6100 / West Bound: 5600","(41.838327, -87.624762)",c(-87.624762, 41.838327)
"502",1244,"6806 South","Racine Ave","10/11/2006",14300,"North Bound: 7600 / South Bound: 6700","(41.770301, -87.654254)",c(-87.654254, 41.770301)
"503",588,"8210 South","Exchange Ave","10/18/2006",9700,"North Bound: 4300 / South Bound: 5400","(41.746122, -87.552788)",c(-87.552788, 41.746122)
"504",236,"4411 South","Racine Ave","03/23/2006",6700,"North Bound: 3400 / South Bound: 3300","(41.813903, -87.655287)",c(-87.655287, 41.813903)
"505",759,"6335 South","Central Ave","09/12/2006",15700,"North Bound: 7200 / South Bound: 8500","(41.777058, -87.761684)",c(-87.761684, 41.777058)
"506",114,"700 South","Halsted St","03/21/2006",15600,"North Bound: 6700 / South Bound: 8900","(41.87346, -87.647091)",c(-87.647091, 41.87346)
"507",667,"3733 North","Clark St","07/26/2006",12600,"North Bound: 6000 / South Bound: 6600","(41.94979, -87.658602)",c(-87.658602, 41.94979)
"508",904,"2890 North","Narragansett Ave","10/26/2006",24900,"North Bound: 10100 / South Bound: 14800","(41.932832, -87.785749)",c(-87.785749, 41.932832)
"509",426,"5333 North","Sheridan Ave","10/12/2006",12500,"North Bound: 6300 / South Bound: 6200","(41.97914, -87.655026)",c(-87.655026, 41.97914)
"510",1203,"4310 South","Cicero Ave","10/23/2006",67200,"North Bound: 33600 / South Bound: 33600","(41.814595, -87.743349)",c(-87.743349, 41.814595)
"511",694,"6516 North","Harlem Ave","08/16/2006",31800,"North Bound: 15400 / South Bound: 16400","(41.999165, -87.806776)",c(-87.806776, 41.999165)
"512",1364,"133 East","Wacker Lower Dr","09/19/2006",34200,"East Bound: 14100 / West Bound: 20100","(41.888302, -87.623405)",c(-87.623405, 41.888302)
"513",1071,"613 North","Clark St","09/27/2006",17300,"South Bound: 17300/ Oneway South Bound","(41.892773, -87.631157)",c(-87.631157, 41.892773)
"514",1188,"3457 West","51st St","08/10/2006",14600,"East Bound: 6700 / West Bound: 7900","(41.800719, -87.710993)",c(-87.710993, 41.800719)
"515",1058,"1824 West","Augusta Blvd","10/18/2006",18900,"East Bound: 9700 / West Bound: 9200","(41.899615, -87.67336)",c(-87.67336, 41.899615)
"516",752,"10347 South","Cottage Grove Ave","10/04/2006",13700,"North Bound: 7400 / South Bound: 6300","(41.706017, -87.606829)",c(-87.606829, 41.706017)
"517",554,"3283 West","Wrightwood Ave","09/21/2006",10000,"East Bound: 4500 / West Bound: 5500","(41.928333, -87.710574)",c(-87.710574, 41.928333)
"518",1239,"1321 West","Marquette Rd","10/11/2006",15400,"East Bound: 7400 / West Bound: 8000","(41.772283, -87.657646)",c(-87.657646, 41.772283)
"519",1350,"443 South","Federal St","09/21/2006",2000,"North Bound: 700 / South Bound: 1300","(41.875841, -87.629701)",c(-87.629701, 41.875841)
"520",795,"745 North","Fairbanks Ct","10/31/2006",10700,"North Bound: 6400 / South Bound: 4300","(41.896368, -87.620359)",c(-87.620359, 41.896368)
"521",1220,"8451 South","Pulaski Rd","10/04/2006",33800,"North Bound: 16500 / South Bound: 17300","(41.73879, -87.721569)",c(-87.721569, 41.73879)
"522",701,"267 North","Central Park Ave","11/13/2006",8800,"North Bound: 4300 / South Bound: 4500","(41.886115, -87.71603)",c(-87.71603, 41.886115)
"523",1288,"11027 South","Dr Martin Luther King Jr Dr","08/31/2006",8900,"North Bound: 4500 / South Bound: 4400","(41.693802, -87.613403)",c(-87.613403, 41.693802)
"524",1143,"908 West","Randolph St","10/05/2006",9300,"West Bound: 9300/ Oneway West Bound","(41.884359, -87.650176)",c(-87.650176, 41.884359)
"525",1130,"660 North","Ogden Ave","10/17/2006",20900,"North Bound: 7000 / South Bound: 13900","(41.894073, -87.656489)",c(-87.656489, 41.894073)
"526",495,"2345 West","Jackson Blvd","10/05/2006",4900,"East Bound: 3300 / West Bound: 1600","(41.877558, -87.685609)",c(-87.685609, 41.877558)
"527",1057,"3654 West","Augusta Blvd","10/18/2006",11100,"East Bound: 5500 / West Bound: 5600","(41.899087, -87.718638)",c(-87.718638, 41.899087)
"528",196,"1720 West","87th Street","03/23/2006",29500,"East Bound: 15200 / West Bound: 14300","(41.735742, -87.666475)",c(-87.666475, 41.735742)
"529",981,"2032 West","Irving Park Rd","08/24/2006",41200,"East Bound: 21100 / West Bound: 20100","(41.954136, -87.680217)",c(-87.680217, 41.954136)
"530",776,"4762 North","East River Rd","08/17/2006",14000,"North Bound: 6500 / South Bound: 7500","(41.966794, -87.846567)",c(-87.846567, 41.966794)
"531",17,"6144 South","Cottage Grove Ave","03/01/2006",20900,"North Bound: 10300 / South Bound: 10600","(41.78269, -87.605979)",c(-87.605979, 41.78269)
"532",151,"3010 East","92nd St","05/05/2006",28500,"East Bound: 2100 / West Bound: 26400","(41.728253, -87.550704)",c(-87.550704, 41.728253)
"533",1078,"85 West","Congress Pkwy","09/27/2006",72400,"East Bound: 36200 / West Bound: 36200","(41.875611, -87.630673)",c(-87.630673, 41.875611)
"534",612,"2501 South","Hamlin Ave","09/14/2006",3200,"South Bound: 3200/ Oneway South Bound","(41.846135, -87.719725)",c(-87.719725, 41.846135)
"535",1346,"411 South","Wells St","09/19/2006",9900,"South Bound: 9900/ Oneway South Bound","(41.876584, -87.633684)",c(-87.633684, 41.876584)
"536",53,"3654 South","Indiana Ave","03/02/2006",6000,"North Bound: 6000 / / Oneway North Bound","(41.828022, -87.621694)",c(-87.621694, 41.828022)
"537",841,"2430 West","Ogden Ave","11/02/2006",29900,"East Bound: 15800 / West Bound: 14100","(41.864394, -87.687068)",c(-87.687068, 41.864394)
"538",403,"4923 West","Grand Ave","10/23/2006",12500,"East Bound: 5900 / West Bound: 6600","(41.915566, -87.750173)",c(-87.750173, 41.915566)
"539",542,"210 South","Clark St","09/20/2006",16500,"South Bound: 16500/ Oneway South Bound","(41.879069, -87.630811)",c(-87.630811, 41.879069)
"540",650,"7825 West","Forest Preserve Ave","10/25/2006",16000,"East Bound: 7500 / West Bound: 8500","(41.94619, -87.822945)",c(-87.822945, 41.94619)
"541",156,"9621 South","Avenue L","03/21/2006",5000,"North Bound: 3200 / South Bound: 1800","(41.720702, -87.536499)",c(-87.536499, 41.720702)
"542",89,"9940 South","State St","05/02/2006",7300,"North Bound: 4400 / South Bound: 2900","(41.713246, -87.623646)",c(-87.623646, 41.713246)
"543",150,"2936 East","92nd St","05/04/2006",41300,"East Bound: 3700 / West Bound: 37600","(41.72824, -87.552415)",c(-87.552415, 41.72824)
"544",375,"2701 West","Pope John Paul II","05/09/2006",7000,"West Bound: 7000/ Oneway West Bound","(41.815579, -87.692019)",c(-87.692019, 41.815579)
"545",263,"450 East","43rd St","04/25/2006",8900,"East Bound: 4500 / West Bound: 4400","(41.816676, -87.614468)",c(-87.614468, 41.816676)
"546",124,"7925 South","Vincennes Ave","03/29/2006",21200,"North Bound: 9700 / South Bound: 11500","(41.75002, -87.634415)",c(-87.634415, 41.75002)
"547",270,"929 West","51st Street","03/29/2006",8900,"East Bound: 4300 / West Bound: 4600","(41.801533, -87.648948)",c(-87.648948, 41.801533)
"548",1299,"10928 South","Avenue O","10/18/2006",12400,"North Bound: 7000 / South Bound: 5400","(41.696434, -87.54009)",c(-87.54009, 41.696434)
"549",854,"5532 West","Belmont Ave","10/16/2006",23100,"East Bound: 12500 / West Bound: 10600","(41.938587, -87.765389)",c(-87.765389, 41.938587)
"550",5,"920 West","71st Street","02/28/2006",18200,"East Bound: 8800 / West Bound: 9400","(41.765153, -87.647751)",c(-87.647751, 41.765153)
"551",1174,"4550 West","Cermak Rd","09/12/2006",24000,"East Bound: 12200 / West Bound: 11800","(41.851353, -87.738835)",c(-87.738835, 41.851353)
"552",1008,"815 South","Cicero Ave","10/26/2006",35200,"North Bound: 17800 / South Bound: 17400","(41.869875, -87.744879)",c(-87.744879, 41.869875)
"553",1341,"380 West","Jackson Blvd","09/28/2006",14300,"East Bound: 14300 / / Oneway East Bound","(41.878068, -87.637659)",c(-87.637659, 41.878068)
"554",294,"20 West","Cermak Rd","04/25/2006",19900,"East Bound: 9500 / West Bound: 10400","(41.852874, -87.627827)",c(-87.627827, 41.852874)
"555",678,"4810 North","Milwaukee Ave","01/09/2007",27600,"North Bound: 11600 / South Bound: 16000","(41.96815, -87.760968)",c(-87.760968, 41.96815)
"556",392,"12007 South","State St","08/31/2006",6300,"North Bound: 3100 / South Bound: 3200","(41.675955, -87.622596)",c(-87.622596, 41.675955)
"557",867,"5850 North","Cumberland Ave","08/17/2006",49400,"North Bound: 27100 / South Bound: 22300","(41.986101, -87.836581)",c(-87.836581, 41.986101)
"558",229,"6628 South","Loomis St","03/09/2006",5500,"North Bound: 2500 / South Bound: 3000","(41.773201, -87.659191)",c(-87.659191, 41.773201)
"559",547,"2939 West","63rd St","08/15/2006",22200,"East Bound: 10500 / West Bound: 11700","(41.779058, -87.697351)",c(-87.697351, 41.779058)
"560",340,"754 West","Harrison St","04/26/2006",11000,"East Bound: 5600 / West Bound: 5400","(41.874327, -87.646119)",c(-87.646119, 41.874327)
"561",991,"929 West","North Ave","10/16/2006",28000,"East Bound: 13600 / West Bound: 14400","(41.910853, -87.652267)",c(-87.652267, 41.910853)
"562",581,"5665 West","Bryn Mawr Ave","09/18/2006",8900,"East Bound: 3800 / West Bound: 5100","(41.98293, -87.77077)",c(-87.77077, 41.98293)
"563",704,"220 North","Western Ave","10/24/2006",34400,"North Bound: 16800 / South Bound: 17600","(41.885258, -87.686545)",c(-87.686545, 41.885258)
"564",825,"2432 West","Irving Park Rd","08/30/2006",42100,"East Bound: 22300 / West Bound: 19800","(41.954006, -87.689792)",c(-87.689792, 41.954006)
"565",1137,"928 North","Pulaski Rd","10/04/2006",23900,"North Bound: 12400 / South Bound: 11500","(41.898079, -87.726166)",c(-87.726166, 41.898079)
"566",1262,"7245 South","Jeffery Ave","09/06/2006",25900,"North Bound: 13100 / South Bound: 12800","(41.763008, -87.576233)",c(-87.576233, 41.763008)
"567",432,"2700 West","Roosevelt Rd","10/19/2006",18300,"East Bound: 8200 / West Bound: 10100","(41.866535, -87.693471)",c(-87.693471, 41.866535)
"568",1115,"2335 West","Lake St","10/19/2006",7700,"East Bound: 4300 / West Bound: 3400","(41.884665, -87.685501)",c(-87.685501, 41.884665)
"569",601,"5410 South","Cicero Ave","08/02/2006",71200,"North Bound: 37700 / South Bound: 33500","(41.794355, -87.742622)",c(-87.742622, 41.794355)
"570",1156,"839 West","Van Buren St","09/19/2006",10500,"East Bound: 3000 / West Bound: 7500","(41.87665, -87.648742)",c(-87.648742, 41.87665)
"571",1283,"124 East","127th St","08/29/2006",28700,"East Bound: 14200 / West Bound: 14500","(41.663388, -87.618884)",c(-87.618884, 41.663388)
"572",723,"6257 West","Belmont Ave","10/16/2006",24400,"East Bound: 12900 / West Bound: 11500","(41.938356, -87.783382)",c(-87.783382, 41.938356)
"573",1106,"2128 South","Indiana Ave","10/17/2006",11200,"North Bound: 6600 / South Bound: 4600","(41.853372, -87.622268)",c(-87.622268, 41.853372)
"574",1259,"3836 South","Cottage Grove Ave","10/17/2006",11100,"North Bound: 5600 / South Bound: 5500","(41.825153, -87.607512)",c(-87.607512, 41.825153)
"575",569,"6330 West","Touhy Ave","08/15/2006",33700,"East Bound: 17100 / West Bound: 16600","(42.011999, -87.785556)",c(-87.785556, 42.011999)
"576",1024,"4435 West","Division St","10/18/2006",17400,"East Bound: 8700 / West Bound: 8700","(41.902488, -87.73753)",c(-87.73753, 41.902488)
"577",1281,"714 West","115th St","08/29/2006",12200,"East Bound: 5500 / West Bound: 6700","(41.685103, -87.640375)",c(-87.640375, 41.685103)
"578",834,"2458 West","Augusta Blvd","10/18/2006",11400,"East Bound: 5500 / West Bound: 5900","(41.899355, -87.689356)",c(-87.689356, 41.899355)
"579",856,"6845 West","Belmont Ave","10/16/2006",24200,"East Bound: 12800 / West Bound: 11400","(41.938129, -87.797524)",c(-87.797524, 41.938129)
"580",630,"2393 North","Harlem Ave","11/13/2006",22300,"North Bound: 12400 / South Bound: 9900","(41.923557, -87.80624)",c(-87.80624, 41.923557)
"581",710,"840 North","Halsted St","09/18/2006",23100,"North Bound: 11200 / South Bound: 11900","(41.897792, -87.647818)",c(-87.647818, 41.897792)
"582",773,"3152 North","Milwaukee Ave","08/22/2006",16800,"North Bound: 7000 / South Bound: 9800","(41.938251, -87.72247)",c(-87.72247, 41.938251)
"583",956,"1851 West","Armitage Ave","08/09/2006",21000,"East Bound: 10500 / West Bound: 10500","(41.91781, -87.674797)",c(-87.674797, 41.91781)
"584",996,"4926 North","Sheridan Rd","10/11/2006",8800,"North Bound: 4700 / South Bound: 4100","(41.972386, -87.654903)",c(-87.654903, 41.972386)
"585",975,"1614 West","Diversey Ave","08/10/2006",22400,"East Bound: 11200 / West Bound: 11200","(41.932395, -87.669002)",c(-87.669002, 41.932395)
"586",1,"2523 West","71st Street","02/28/2006",14600,"East Bound: 7800 / West Bound: 6800","(41.764641, -87.686772)",c(-87.686772, 41.764641)
"587",327,"530 East","Best Dr","04/26/2006",5600,"East Bound: 2600 / West Bound: 3000","(41.786586, -87.611974)",c(-87.611974, 41.786586)
"588",1224,"2122 West","35th St","09/26/2006",10700,"East Bound: 4800 / West Bound: 5900","(41.830349, -87.678909)",c(-87.678909, 41.830349)
"589",447,"1303 West","Wilson Ave","09/26/2006",12700,"East Bound: 6300 / West Bound: 6400","(41.965326, -87.662564)",c(-87.662564, 41.965326)
"590",1037,"803 South","Racine Ave","09/20/2006",14400,"North Bound: 6800 / South Bound: 7600","(41.871676, -87.656828)",c(-87.656828, 41.871676)
"591",809,"2250 East","130th St","11/08/2006",23000,"East Bound: 12600 / West Bound: 10400","(41.659181, -87.568276)",c(-87.568276, 41.659181)
"592",1352,"406 South","Plymouth CT","09/19/2006",3500,"North Bound: 1900 / South Bound: 1600","(41.876735, -87.628733)",c(-87.628733, 41.876735)
"593",663,"3232 North","Halsted St","10/16/2006",22100,"North Bound: 11700 / South Bound: 10400","(41.940877, -87.649294)",c(-87.649294, 41.940877)
"594",461,"15 West","Adams St","10/03/2006",11200,"West Bound: 11200/ Oneway West Bound","(41.879452, -87.628325)",c(-87.628325, 41.879452)
"595",552,"3260 West","Warren Blvd","10/05/2006",5900,"East Bound: 5900 / / Oneway East Bound","(41.881848, -87.708484)",c(-87.708484, 41.881848)
"596",1235,"3402 South","Damen Ave","08/17/2006",27600,"North Bound: 12200 / South Bound: 15400","(41.83206, -87.675321)",c(-87.675321, 41.83206)
"597",466,"24 West","Randolph St","09/19/2006",18000,"West Bound: 18000/ Oneway West Bound","(41.884485, -87.628798)",c(-87.628798, 41.884485)
"598",1192,"4410 West","63rd St","08/15/2006",23500,"East Bound: 11000 / West Bound: 12500","(41.778536, -87.73304)",c(-87.73304, 41.778536)
"599",1318,"10552 South","Western Ave","09/06/2006",37700,"North Bound: 19800 / South Bound: 17900","(41.701118, -87.681455)",c(-87.681455, 41.701118)
"600",887,"5898 North","Harlem Ave","08/15/2006",32700,"North Bound: 15500 / South Bound: 17200","(41.988647, -87.806885)",c(-87.806885, 41.988647)
"601",189,"1101 West","83rdStreet","03/28/2006",15100,"East Bound: 7800 / West Bound: 7300","(41.743249, -87.651157)",c(-87.651157, 41.743249)
"602",39,"5450 South","Dr Martin Luther King Jr Dr","02/28/2006",11800,"North Bound: 5600 / South Bound: 6200","(41.795094, -87.615989)",c(-87.615989, 41.795094)
"603",42,"9243 South","Dr Martin Luther King Jr Dr","02/28/2006",15500,"North Bound: 7800 / South Bound: 7700","(41.726239, -87.614254)",c(-87.614254, 41.726239)
"604",1374,"350 West","97th St","10/04/2006",3900,"East Bound: 1900 / West Bound: 2000","(41.71796, -87.632971)",c(-87.632971, 41.71796)
"605",170,"175 West","75th Street","03/28/2006",17600,"East Bound: 7200 / West Bound: 10400","(41.758155, -87.629625)",c(-87.629625, 41.758155)
"606",292,"234 West","Cermak Rd","05/09/2006",16700,"East Bound: 6400 / West Bound: 10300","(41.852859, -87.633451)",c(-87.633451, 41.852859)
"607",58,"6841 South","Jeffery Blvd","05/04/2006",23700,"North Bound: 11300 / South Bound: 12400","(41.77038, -87.576414)",c(-87.576414, 41.77038)
"608",924,"3765 North","California Ave","11/16/2006",13500,"North Bound: 6900 / South Bound: 6600","(41.950326, -87.698137)",c(-87.698137, 41.950326)
"609",184,"20 East","79th St","03/28/2006",20700,"East Bound: 11300 / West Bound: 9400","(41.75097, -87.623726)",c(-87.623726, 41.75097)
"610",804,"22 West","Congress Pkwy","09/27/2006",62700,"East Bound: 29900 / West Bound: 32800","(41.875633, -87.628433)",c(-87.628433, 41.875633)
"611",308,"1431 West","Pershing Rd","04/25/2006",19500,"East Bound: 9500 / West Bound: 10000","(41.823191, -87.662035)",c(-87.662035, 41.823191)
"612",79,"2425 East","South Shore Dr","03/09/2006",17300,"North Bound: 8600 / South Bound: 8700","(41.766314, -87.565472)",c(-87.565472, 41.766314)
"613",616,"1531 South","Kostner Ave","09/14/2006",19500,"North Bound: 8800 / South Bound: 10700","(41.859611, -87.734761)",c(-87.734761, 41.859611)
"614",203,"2040 East","87th Street","03/28/2006",14100,"East Bound: 6700 / West Bound: 7400","(41.737079, -87.574126)",c(-87.574126, 41.737079)
"615",740,"4306 West","26th St","09/12/2006",8400,"East Bound: 4500 / West Bound: 3900","(41.844157, -87.731356)",c(-87.731356, 41.844157)
"616",325,"77 East","Balbo Ave","04/26/2006",10500,"East Bound: 4200 / West Bound: 6300","(41.873149, -87.624836)",c(-87.624836, 41.873149)
"617",21,"8800 South","Cottage Grove Ave","03/01/2006",22400,"North Bound: 11100 / South Bound: 11300","(41.734791, -87.604779)",c(-87.604779, 41.734791)
"618",481,"4733 West","Lake St","10/19/2006",16100,"East Bound: 6600 / West Bound: 9500","(41.886549, -87.744388)",c(-87.744388, 41.886549)
"619",171,"46 East","75th St","05/09/2006",11700,"East Bound: 5900 / West Bound: 5800","(41.758265, -87.622945)",c(-87.622945, 41.758265)
"620",407,"1423 West","Lake St","10/19/2006",9700,"East Bound: 5400 / West Bound: 4300","(41.885403, -87.663033)",c(-87.663033, 41.885403)
"621",790,"194 North","Damen Ave","11/01/2006",18800,"North Bound: 10400 / South Bound: 8400","(41.884983, -87.676739)",c(-87.676739, 41.884983)
"622",646,"2836 North","Laramie Ave","10/23/2006",15500,"East Bound: 7900 / West Bound: 7600","(41.932527, -87.756461)",c(-87.756461, 41.932527)
"623",628,"1646 North","Laramie Ave","11/13/2006",13200,"North Bound: 6700 / South Bound: 6500","(41.91094, -87.755711)",c(-87.755711, 41.91094)
"624",1243,"4550 South","Racine Ave","10/19/2006",9000,"North Bound: 4400 / South Bound: 4600","(41.810881, -87.655209)",c(-87.655209, 41.810881)
"625",881,"5835 West","Fullerton Ave","08/17/2006",37100,"East Bound: 18400 / West Bound: 18700","(41.923882, -87.77227)",c(-87.77227, 41.923882)
